分詞,詞性,句法,變調
"有｜Ū 一-寡｜tsi̍t-kuá cosplay｜cosplay 的｜ê 衫｜sann 是｜sī 有｜ū 車｜tshia lè-sìr-的｜lè-sìr-ê 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VE 有｜Ū)
      (CP
        (IP
          (NP
            (DNP
              (NP (NP (NN 一-寡｜tsi̍t-kuá)) (NP (NR cosplay｜cosplay)))
              (DEG 的｜ê))
            (NP (NN 衫｜sann)))
          (VP (VC 是｜sī) (VP (VE 有｜ū) (NP (NN 車｜tshia)))))
        (SP lè-sìr-的｜lè-sìr-ê)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '本調#', '毋是台語']"
"這｜Tsit 台｜tâi li-á-khah｜li-á-khah 後-壁｜āu-piah 載｜tsài 足｜tsiok 濟｜tsē 物-件｜mi̍h-kiānn 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (DP (DT 這｜Tsit) (CLP (M 台｜tâi)))
      (NP (NN li-á-khah｜li-á-khah) (NN 後-壁｜āu-piah)))
    (VP
      (VP (VV 載｜tsài) (NP (NN 足｜tsiok)))
      (VP (VV 濟｜tsē) (NP (NN 物-件｜mi̍h-kiānn))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜Hit 兩｜nn̄g 台｜tâi li-á-khah｜li-á-khah 的｜ê 後-壁｜āu-piah ，｜, 車｜tshia 足｜tsiok 濟｜tsē 物-件｜mi̍h-kiānn 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (DNP
        (NP
          (NP (NR 彼｜Hit))
          (QP (CD 兩｜nn̄g) (CLP (M 台｜tâi)))
          (NP (NN li-á-khah｜li-á-khah)))
        (DEG 的｜ê))
      (NP (NN 後-壁｜āu-piah)))
    (PU ，｜,)
    (NP (NN 車｜tshia) (NN 足｜tsiok))
    (VP (VV 濟｜tsē) (NP (NN 物-件｜mi̍h-kiānn)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜Hit 台｜tâi li-á-khah｜li-á-khah 的｜ê 頂-懸｜tíng-kuân 疊｜thia̍p 足｜tsiok 濟｜tsē 物-件｜mi̍h-kiānn 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (DNP
        (NP (NR 彼｜Hit) (NR 台｜tâi) (NR li-á-khah｜li-á-khah))
        (DEG 的｜ê))
      (NP (NN 頂-懸｜tíng-kuân)))
    (NP (QP (CLP (M 疊｜thia̍p))) (NP (NN 足｜tsiok)))
    (VP (VV 濟｜tsē) (NP (NN 物-件｜mi̍h-kiānn)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"古-早-人｜Kóo-tsá-lâng 攏｜lóng 用｜iōng lia̋n-táng｜lia̋n-táng 起-火｜khí-hué 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 古-早-人｜Kóo-tsá-lâng))
    (VP
      (VV 攏｜lóng)
      (IP
        (VP
          (PP (P 用｜iōng) (NP (NN lia̋n-táng｜lia̋n-táng)))
          (VP (VV 起-火｜khí-hué)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"Li̋n-jín｜Li̋n-jín 加｜ke 食-一-寡｜tsia̍h-tsi̍t-kuá 對｜tuì 目-睭｜ba̍k-tsiu 蓋｜kài 好｜hó 蓋｜kài 有｜ū 幫-助｜pang-tsōo 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP
        (NP (NR Li̋n-jín｜Li̋n-jín) (NR 加｜ke))
        (NP (NN 食-一-寡｜tsia̍h-tsi̍t-kuá)))
      (VP
        (PP (P 對｜tuì) (NP (NN 目-睭｜ba̍k-tsiu)))
        (VP
          (VRD (VV 蓋｜kài) (VA 好｜hó))
          (IP
            (VP
              (VV 蓋｜kài)
              (IP (VP (VE 有｜ū) (NP (NN 幫-助｜pang-tsōo)))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"加｜Ke 食｜tsia̍h li̋n-jín｜li̋n-jín 對｜tuì 目-睭｜ba̍k-tsiu 有｜ū 真｜tsin 大｜tuā 的｜ê 幫-助｜pang-tsōo 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 加｜Ke)
      (IP
        (VP
          (VV 食｜tsia̍h)
          (IP
            (NP (NN li̋n-jín｜li̋n-jín))
            (VP
              (PP (P 對｜tuì) (NP (NN 目-睭｜ba̍k-tsiu)))
              (VP
                (VE 有｜ū)
                (NP
                  (CP
                    (IP (VP (ADVP (AD 真｜tsin)) (VP (JJ 大｜tuā))))
                    (DEG 的｜ê))
                  (NP (NN 幫-助｜pang-tsōo)))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"較-早｜Khah-tsá lìn-gòo｜lìn-gòo 是｜sī 貴-參-參｜kuì-som-som 的｜ê 果-子｜kué-tsí 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (ADVP (AD 較-早｜Khah-tsá))
    (NP (NN lìn-gòo｜lìn-gòo))
    (VP
      (VC 是｜sī)
      (NP
        (CP (IP (VP (VV 貴-參-參｜kuì-som-som))) (DEC 的｜ê))
        (NP (NN 果-子｜kué-tsí))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"較-早｜Khah-tsá 有｜ū 一｜tsi̍t 款｜khuán lìn-gòo｜lìn-gòo 叫-做｜kiò-tsò 五-爪｜gōo-jiáu lìn-gòo｜lìn-gòo ，｜, 是｜sī 蓋｜kài 貴-重｜kuì-tiōng 的｜ê 物-件｜mi̍h-kiānn 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (ADVP (AD 較-早｜Khah-tsá))
        (VP
          (VE 有｜ū)
          (IP
            (NP
              (QP (CD 一｜tsi̍t) (CLP (M 款｜khuán)))
              (NP (NN lìn-gòo｜lìn-gòo)))
            (VP
              (VV 叫-做｜kiò-tsò)
              (NP (NN 五-爪｜gōo-jiáu) (NN lìn-gòo｜lìn-gòo)))))))
    (PU ，｜,)
    (IP
      (VP
        (VC 是｜sī)
        (VP
          (VV 蓋｜kài)
          (NP
            (DNP (ADJP (JJ 貴-重｜kuì-tiōng)) (DEG 的｜ê))
            (NP (NN 物-件｜mi̍h-kiānn))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"較-早｜Khah-tsá 有｜ū 一｜tsi̍t 款｜khuán lìn-gòo｜lìn-gòo 叫-做｜kiò-tsò 五-爪｜gōo-jiáu lìn-gòo｜lìn-gòo ，｜, 是｜sī 蓋｜kài 貴-重｜kuì-tiōng 的｜ê 等-路｜tán-lōo 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (ADVP (AD 較-早｜Khah-tsá))
        (VP
          (VE 有｜ū)
          (IP
            (NP
              (QP (CD 一｜tsi̍t) (CLP (M 款｜khuán)))
              (NP (NN lìn-gòo｜lìn-gòo)))
            (VP
              (VV 叫-做｜kiò-tsò)
              (NP (NN 五-爪｜gōo-jiáu) (NN lìn-gòo｜lìn-gòo)))))))
    (PU ，｜,)
    (IP
      (VP
        (VC 是｜sī)
        (VP
          (VV 蓋｜kài)
          (NP
            (DNP (ADJP (JJ 貴-重｜kuì-tiōng)) (DEG 的｜ê))
            (NP (NN 等-路｜tán-lōo))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 若｜nā 無｜bô 提｜the̍h loo-lài-bà｜loo-lài-bà 捘｜tsūn ，｜, 會｜ē 捘｜tsūn 袂｜bē 絚｜ân 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (PN 你｜Lí))
      (VP
        (ADVP (CS 若｜nā))
        (VP
          (VE 無｜bô)
          (NP (NN 提｜the̍h) (NN loo-lài-bà｜loo-lài-bà) (NN 捘｜tsūn)))))
    (PU ，｜,)
    (VP (VV 會｜ē) (VP (VV 捘｜tsūn) (NP (NN 袂｜bē) (NN 絚｜ân))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜He lòo-suh｜lòo-suh 炒｜tshá 筍-絲｜sún-si 蓋｜kài 好-食｜hó-tsia̍h ，｜, 蓋｜kài 著-味｜tio̍h-bī ōo｜ōo 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (ADJP (JJ 彼｜He)) (NP (NN lòo-suh｜lòo-suh)))
      (VP
        (VP
          (VP (VV 炒｜tshá) (NP (NN 筍-絲｜sún-si)))
          (VP (VV 蓋｜kài) (NP (NN 好-食｜hó-tsia̍h))))
        (PU ，｜,)
        (VP (VV 蓋｜kài) (NP (NN 著-味｜tio̍h-bī) (NN ōo｜ōo)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"猶-原｜Iû-guân 有｜ū 袂｜bē 少｜tsió 人｜lâng 會｜ē 穿｜tshīng lóo-lí-á｜lóo-lí-á 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (ADVP (AD 猶-原｜Iû-guân))
      (VP
        (VE 有｜ū)
        (IP
          (IP (NP (NN 袂｜bē)) (VP (VV 少｜tsió) (NP (NN 人｜lâng))))
          (VP
            (VV 會｜ē)
            (VP (VV 穿｜tshīng) (NP (NN lóo-lí-á｜lóo-lí-á)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"有｜Ū 朋-友｜pîng-iú 感-覺｜kám-kak 穿｜tshīng lóo-lí-á｜lóo-lí-á 出-門｜tshut-mn̂g 是｜sī 真｜tsin 失-禮｜sit-lé 的｜ê 代-誌｜tāi-tsì 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (VE 有｜Ū)
        (IP
          (NP (NN 朋-友｜pîng-iú))
          (VP
            (VV 感-覺｜kám-kak)
            (IP
              (VP
                (VP (VV 穿｜tshīng) (NP (NN lóo-lí-á｜lóo-lí-á)))
                (VP (VV 出-門｜tshut-mn̂g))))))))
    (VP
      (VC 是｜sī)
      (NP
        (CP
          (IP (VP (ADVP (AD 真｜tsin)) (VP (VV 失-禮｜sit-lé))))
          (DEC 的｜ê))
        (NP (NN 代-誌｜tāi-tsì))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"先-生｜Sian-sinn ，｜, 伊｜i 這｜tsit 幾｜kuí 工｜kang 拍-寒-拍-熱｜phah-kuânn-phah-lua̍h ，｜, 敢｜kám 會｜ē 是｜sī 著｜tio̍h ma-lá-lí-á｜ma-lá-lí-á ？｜?
","['Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 先-生｜Sian-sinn))
    (PU ，｜,)
    (NP
      (NP (NR 伊｜i))
      (DP (DT 這｜tsit) (QP (CD 幾｜kuí)))
      (NP (NN 工｜kang) (NN 拍-寒-拍-熱｜phah-kuânn-phah-lua̍h)))
    (PU ，｜,)
    (VP
      (VV 敢｜kám)
      (VP
        (VV 會｜ē)
        (VP (VV 是｜sī) (AS 著｜tio̍h) (NP (NN ma-lá-lí-á｜ma-lá-lí-á)))))
    (PU ？｜?)))","['規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"Sia̋n-sé｜Sia̋n-sé ，｜, 伊｜i 這｜tsit 幾｜kuí 工｜kang 連-鞭｜liâm-mi 喝｜huah 寒｜kuânn 連-鞭｜liâm-mi 喝｜huah 熱｜lua̍h ，｜, 敢｜kám 會｜ē 是｜sī 著｜tio̍h ma-lá-lí-á｜ma-lá-lí-á ？｜?
","['Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR Sia̋n-sé｜Sia̋n-sé))
    (PU ，｜,)
    (NP
      (NP (NR 伊｜i))
      (DP (DT 這｜tsit) (QP (CD 幾｜kuí)))
      (NP (NN 工｜kang) (NN 連-鞭｜liâm-mi)))
    (VP
      (VP
        (VP (VV 喝｜huah) (NP (NN 寒｜kuânn) (NN 連-鞭｜liâm-mi)))
        (VP (VV 喝｜huah) (NP (NN 熱｜lua̍h))))
      (PU ，｜,)
      (VP
        (VV 敢｜kám)
        (VP
          (VV 會｜ē)
          (VP (VV 是｜sī) (AS 著｜tio̍h) (NP (NN ma-lá-lí-á｜ma-lá-lí-á))))))
    (PU ？｜?)))","['規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"毋-好｜M̄-hó 猶-未｜iáu-bē 減-肥｜kiám-puî 就｜tō 去｜khì 參-加｜tsham-ka ma-lá-sóng｜ma-lá-sóng ，｜, 會｜ē 死-人｜sí-lâng 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VP
        (ADVP (AD 毋-好｜M̄-hó))
        (VP
          (IP (VP (ADVP (AD 猶-未｜iáu-bē)) (VP (VV 減-肥｜kiám-puî))))
          (ADVP (AD 就｜tō))
          (VP
            (VV 去｜khì)
            (VP (VV 參-加｜tsham-ka) (NP (NN ma-lá-sóng｜ma-lá-sóng))))))
      (PU ，｜,)
      (VP (VV 會｜ē) (NP (NN 死-人｜sí-lâng))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 人｜lâng 無｜bô 爽-快｜sóng-khuài 會-用-得｜ē-īng-eh 去｜khì 予｜hōo 人｜lâng ma-sá-tsì-一-下｜ma-sá-tsì-tsi̍t-ē 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NP (PN 你｜Lí)) (NP (NN 人｜lâng)))
      (VP
        (VE 無｜bô)
        (DNP (ADJP (JJ 爽-快｜sóng-khuài)) (DEV 會-用-得｜ē-īng-eh))
        (VP
          (VV 去｜khì)
          (VP
            (VV 予｜hōo)
            (NP (NN 人｜lâng))
            (ADVP (AD ma-sá-tsì-一-下｜ma-sá-tsì-tsi̍t-ē))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 人｜lâng 若｜nā 無｜bô 爽-快｜sóng-khuài 會-當｜ē-tàng 去｜khì hông｜hông 小｜sió ma-sà-tsì-一-下｜ma-sà-tsì-tsi̍t-ē 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NP (PN 你｜Lí)) (NP (NN 人｜lâng)))
      (VP
        (VP
          (ADVP (CS 若｜nā))
          (VP
            (VE 無｜bô)
            (NP (ADJP (JJ 爽-快｜sóng-khuài)) (NP (NN 會-當｜ē-tàng)))))
        (VP
          (MSP 去｜khì)
          (VP
            (VV hông｜hông)
            (IP
              (VP
                (ADJP (JJ 小｜sió))
                (ADVP (AD ma-sà-tsì-一-下｜ma-sà-tsì-tsi̍t-ē))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這｜Tse 看｜khuànn 價-數｜kè-siàu 就｜tō 知-影｜tsai-iánn 毋｜m̄ 是｜sī 做｜tsò 一-般｜it-puann 的｜ê ma-sà-tsì｜ma-sà-tsì 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 這｜Tse))
    (VP
      (VP (VV 看｜khuànn) (NP (NN 價-數｜kè-siàu)))
      (VP
        (ADVP (AD 就｜tō))
        (VP
          (VV 知-影｜tsai-iánn)
          (IP
            (VP
              (ADVP (AD 毋｜m̄))
              (VP
                (VC 是｜sī)
                (VP
                  (VV 做｜tsò)
                  (NP
                    (DNP (ADJP (JJ 一-般｜it-puann)) (DEG 的｜ê))
                    (NP (NN ma-sà-tsì｜ma-sà-tsì))))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜Hit 个｜ê 阿-伯｜a-peh 逐-擺｜ta̍k-pái 提-著｜the̍h-tio̍h mài-kù｜mài-kù 就｜tō 毋｜m̄ 肯｜khíng 放｜pàng ，｜, 你｜lí 愛｜ài 較｜khah 注-意｜tsù-ì 咧｜leh 莫｜mài 予｜hōo 伊｜i 上-台｜tsiūnn-tâi 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (VP (VV 彼｜Hit) (NP (QP (CLP (M 个｜ê))) (NP (NN 阿-伯｜a-peh))))
        (VP
          (VV 逐-擺｜ta̍k-pái)
          (IP (VP (VV 提-著｜the̍h-tio̍h) (NP (NN mài-kù｜mài-kù)))))))
    (VP
      (ADVP (AD 就｜tō))
      (ADVP (AD 毋｜m̄))
      (VP (VV 肯｜khíng) (VP (VV 放｜pàng))))
    (PU ，｜,)
    (IP
      (NP (PN 你｜lí))
      (VP
        (VP
          (VV 愛｜ài)
          (IP
            (VP
              (ADVP (AD 較｜khah))
              (VP (VV 注-意｜tsù-ì) (NP (NN 咧｜leh))))))
        (VP
          (ADVP (AD 莫｜mài))
          (VP (VV 予｜hōo) (NP (NR 伊｜i)) (IP (VP (VV 上-台｜tsiūnn-tâi)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"彼｜Hit 个｜ê 阿-桑｜a-sáng 見-擺｜kiàn-pái 攑｜gia̍h mài-kù｜mài-kù 攏｜lóng 袂｜bē 癮｜giàn 放｜pàng ，｜, 實-在｜si̍t-tsāi 有-影｜ū-iánn 是-乎｜sī-honnh 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NR 彼｜Hit)
      (IP
        (IP
          (QP (CLP (M 个｜ê)))
          (NP (NN 阿-桑｜a-sáng))
          (VP
            (VV 見-擺｜kiàn-pái)
            (IP
              (VP
                (VP (VV 攑｜gia̍h) (NP (NN mài-kù｜mài-kù)))
                (VP (VV 攏｜lóng) (NP (NN 袂｜bē) (NN 癮｜giàn)))
                (VP (VV 放｜pàng))))))
        (PU ，｜,)
        (IP
          (VP
            (ADVP (AD 實-在｜si̍t-tsāi))
            (VP (VA 有-影｜ū-iánn) (IP (VP (VV 是-乎｜sī-honnh))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 若｜nā 無｜bô 棄-嫌｜khì-hiâm ，｜, 會-當｜ē-tàng 用｜iōng me-lí-á-枋｜me-lí-á-pang lue̋｜lue̋ 裝-潢｜tsong-hông 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (PN 你｜Lí))
      (VP (ADVP (CS 若｜nā)) (VP (VE 無｜bô) (NP (NN 棄-嫌｜khì-hiâm)))))
    (PU ，｜,)
    (IP
      (PP
        (P 會-當｜ē-tàng)
        (IP
          (VP
            (PP (P 用｜iōng) (NP (NN me-lí-á-枋｜me-lí-á-pang)))
            (VP (VV lue̋｜lue̋) (NP (NN 裝-潢｜tsong-hông)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"恁｜Lín 若｜nā 無｜bô 棄-嫌｜khì-hiâm ，｜, 用｜iōng me-lí-á-枋｜me-lí-á-pang lue̋｜lue̋ 做｜tsò 裝-潢｜tsong-hông 就｜tō 真｜tsin 媠-矣｜suí-ah 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NN 恁｜Lín))
      (VP
        (VP (ADVP (CS 若｜nā)) (VP (VE 無｜bô) (NP (NN 棄-嫌｜khì-hiâm))))
        (PU ，｜,)
        (VP
          (VP
            (PP (P 用｜iōng) (NP (NN me-lí-á-枋｜me-lí-á-pang)))
            (VP
              (VV lue̋｜lue̋)
              (IP (VP (VV 做｜tsò) (NP (NN 裝-潢｜tsong-hông))))))
          (VP
            (ADVP (AD 就｜tō))
            (ADVP (AD 真｜tsin))
            (VP (VV 媠-矣｜suí-ah))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"最-近｜Tsuè-kīn me-lóng｜me-lóng 已-經｜í-king 大-出-矣｜tuā-tshut-ah ，｜, 會-當｜ē-tàng 加｜ke 買-一-點-仔｜bé-tsi̍t-tiám-á 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NT 最-近｜Tsuè-kīn))
    (NP (NN me-lóng｜me-lóng))
    (VP
      (ADVP (AD 已-經｜í-king))
      (FLR (SP 大-出-矣｜tuā-tshut-ah))
      (PU ，｜,)
      (VP
        (P 會-當｜ē-tàng)
        (IP (VP (VV 加｜ke) (NP (NR 買-一-點-仔｜bé-tsi̍t-tiám-á))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '毋是台語']"
"最-近｜Tsuè-kīn me-lóng｜me-lóng 已-經｜í-king 大-出-矣｜tuā-tshut-ah ，｜, 會-當｜ē-tàng 加｜ke 買-一-屑-仔｜bé-tsi̍t-sut-á 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NT 最-近｜Tsuè-kīn))
    (NP (NN me-lóng｜me-lóng))
    (CP
      (ADVP (AD 已-經｜í-king))
      (FLR (SP 大-出-矣｜tuā-tshut-ah))
      (PU ，｜,)
      (PP
        (P 會-當｜ē-tàng)
        (IP (VP (VSB (VV 加｜ke) (VV 買-一-屑-仔｜bé-tsi̍t-sut-á))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '毋是台語']"
